ASN单号,SKU编码,目标仓库,总件数,ETA日期,状态
ASN20260501001,S0010GR00NBA,WPCHI4,500,2026-05-10,已入库
ASN20260501002,S0003BL00NBA,WPCHI4,800,2026-05-12,已入库
ASN20260508001,S0007BE00NBA,WPCHI4,600,2026-05-15,已入库
ASN20260508002,S0010GR00NBA,WPLA11,400,2026-05-18,运输中
ASN20260510001,S0008GR00NBA,WPCHI4,700,2026-05-20,运输中
ASN20260512001,S0007DG01NBA,WPCHI4,500,2026-05-22,已到港
ASN20260512002,S0010BE00NBA,WPCHI4,600,2026-05-25,运输中
ASN20260513001,S0003GR01NBA,WPCHI4,400,2026-05-28,运输中
ASN20260514001,S0008BE00NBA,WPPA2,300,2026-05-30,运输中
ASN20260515001,S0010GR00NBA,WPCHI4,1000,2026-06-05,已创建
