SKU编码,仓库,可售数量,待入库数量,在途数量,更新日期
S0010GR00NBA,WPCHI4,633,2789,5,2026-05-15
S0010GR00NBA,WPLA11,200,1500,3,2026-05-15
S0003BL00NBA,WPCHI4,2,1625,0,2026-05-15
S0003BL00NBA,WPLA11,50,800,2,2026-05-15
S0007BE00NBA,WPCHI4,232,874,0,2026-05-15
S0007BE00NBA,WPPA2,100,500,1,2026-05-15
S0007DG01NBA,WPCHI4,75,457,0,2026-05-15
S0007DG01NBA,WPLA11,30,300,0,2026-05-15
S0010LG00NBA,WPCHI4,0,461,2,2026-05-15
S0008GR00NBA,WPCHI4,150,1200,4,2026-05-15
S0008BE00NBA,WPPA2,80,600,1,2026-05-15
S0003GR01NBA,WPCHI4,20,800,0,2026-05-15
S0007BL00NBA,WPHOU4,45,300,0,2026-05-15
S0010BE00NBA,WPCHI4,120,900,3,2026-05-15
S0010BE00NBA,WPLA11,60,400,1,2026-05-15
