日期,SKU编码,平台,订单数,销售件数,销售额,广告花费
2026-05-01,S0010GR00NBA,Amazon,12,12,9600,480
2026-05-01,S0003BL00NBA,Amazon,8,8,6400,320
2026-05-01,S0007BE00NBA,Amazon,15,15,2100,105
2026-05-02,S0010GR00NBA,Amazon,15,15,12000,600
2026-05-02,S0007DG01NBA,Amazon,10,10,4000,200
2026-05-03,S0010GR00NBA,Amazon,18,18,14400,720
2026-05-03,S0008GR00NBA,Amazon,20,20,12000,600
2026-05-04,S0010GR00NBA,Amazon,10,10,8000,400
2026-05-04,S0007BE00NBA,Amazon,25,25,3500,175
2026-05-05,S0010GR00NBA,Amazon,22,22,17600,880
2026-05-05,S0003BL00NBA,Amazon,12,12,9600,480
2026-05-06,S0010GR00NBA,Amazon,8,8,6400,320
2026-05-06,S0008BE00NBA,Amazon,18,18,9900,495
2026-05-07,S0010GR00NBA,Amazon,25,25,20000,1000
2026-05-07,S0007DG01NBA,Amazon,15,15,6000,300
2026-05-08,S0010GR00NBA,Amazon,20,20,16000,800
2026-05-08,S0007BE00NBA,Amazon,30,30,4200,210
2026-05-09,S0010GR00NBA,Amazon,15,15,12000,600
2026-05-09,S0003BL00NBA,Amazon,10,10,8000,400
2026-05-10,S0010GR00NBA,Amazon,28,28,22400,1120
2026-05-10,S0008GR00NBA,Amazon,22,22,13200,660
2026-05-11,S0010GR00NBA,Amazon,12,12,9600,480
2026-05-11,S0007BE00NBA,Amazon,20,20,2800,140
2026-05-12,S0010GR00NBA,Amazon,30,30,24000,1200
2026-05-12,S0007DG01NBA,Amazon,18,18,7200,360
2026-05-13,S0010GR00NBA,Amazon,18,18,14400,720
2026-05-13,S0003BL00NBA,Amazon,15,15,12000,600
2026-05-14,S0010GR00NBA,Amazon,35,35,28000,1400
2026-05-14,S0008BE00NBA,Amazon,25,25,13750,688
2026-05-15,S0010GR00NBA,Amazon,15,15,12000,600
