SKU编码,SPU,产品名称,颜色,箱型,标价,成交均价,星级,Review数,状态
S0010GR00NBA,03烧烤炉,03烧烤炉改款,灰色,2箱件,799.99,676.84,4.6,227,在售
S0003BL00NBA,03烧烤炉,烧烤炉SF003-5,黑色,2箱件,799.99,676.84,4.3,70,在售
S0007BE00NBA,07烧烤炉,07烧烤炉,米色,1箱件,139.99,92.42,4.3,70,在售
S0007DG01NBA,07烧烤炉,07烧烤炉,深灰,1箱件,399.99,99.19,4.3,70,在售
S0010LG00NBA,03烧烤炉,03烧烤炉改款,浅灰,2箱件,699.99,544,4.6,227,在售
S0008GR00NBA,08烧烤炉,08烧烤炉,灰色,1箱件,599.99,450,4.2,120,在售
S0008BE00NBA,08烧烤炉,08烧烤炉,米色,1箱件,549.99,420,4.1,98,在售
S0003GR01NBA,03烧烤炉,03烧烤炉改款-新,灰色,2箱件,849.99,720,4.7,45,新品
S0007BL00NBA,07烧烤炉,07烧烤炉,黑色,1箱件,159.99,105,4.0,55,在售
S0010BE00NBA,03烧烤炉,03烧烤炉改款,米色,2箱件,829.99,700,4.5,180,在售
